Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	22883386	54099820	18059952	15695386	943468	890374	943933	900068	6806	4508868	460594	4508854	531961	299068	1955352
SV	Branch-based	1	21478222	51226303	17439064	16660074	954311	912858	942237	936366	3966	4508871	253631	4508855	450152	299068	1955352
SV	Branch-based	2	20260238	48321252	16796127	17190269	963899	943746	974324	972509	42	4508865	39319	4508854	363062	299068	1955352
SV	Branch-based	3	19966126	47566961	16694439	17251598	958856	933936	941030	980523	3	4508865	5423	4508854	328795	299068	1955352
SV	Branch-based	4	19903707	47477867	16679634	17156424	961081	942555	969463	981122	0	4508865	488	4508854	324024	299068	1955352
SV	Branch-based	5	19900006	47484596	16678320	17157837	981656	934480	975139	981055	0	4508865	50	4508854	323676	299068	1955352
SV	Branch-based	6	19840346	47469618	16678188	17198493	965157	952056	979175	980878	0	4508865	6	4508854	323454	299068	1955352
SV	Branch-based	7	19887957	47489253	16678179	17159178	971329	929168	954991	981546	0	4508865	3	4508854	323600	299068	1955352
SV	Branch-avoiding	0	21891023	50539849	17874454	17701474	2913368	884797	2893363	957463	1606	4508866	299072	2553502	368649	299068	1955352
SV	Branch-avoiding	1	21151450	50685497	17874454	17686296	2893504	878239	2894193	958143	1618	4508866	299072	2553502	368687	299068	1955352
SV	Branch-avoiding	2	21092041	50477119	17874455	17676242	2923827	889621	2886626	957787	1635	4508866	299072	2553503	368676	299068	1955352
SV	Branch-avoiding	3	21133450	50422379	17874454	17671265	2904070	889507	2878370	957981	1627	4508869	299072	2553502	368652	299068	1955352
SV	Branch-avoiding	4	21125661	50627602	17874454	17674689	2935725	884018	2918901	957659	1663	4508866	299072	2553502	368622	299068	1955352
SV	Branch-avoiding	5	21142470	50528510	17874455	17628184	2915392	888590	2923492	957610	1611	4508866	299072	2553503	368586	299068	1955352
SV	Branch-avoiding	6	21170891	50556679	17874454	17710356	2905408	874809	2908135	957744	1621	4508869	299072	2553502	368626	299068	1955352
SV	Branch-avoiding	7	21104370	50533124	17874454	17677009	2937823	894632	2847881	958086	1612	4508866	299072	2553502	368592	299068	1955352
