Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	114465092	272645567	221163514	98409675	22462519	22318584	22421925	5012366	4361	62063987	772796	62063928	781855	540487	30491458
SV	Branch-based	1	110330348	263046589	218979176	100913794	22764280	22693161	22753898	5122439	146	62063981	44684	62063926	605147	540487	30491458
SV	Branch-based	2	110116658	262490017	218858253	100999322	22791331	22726692	22826927	5131852	1	62063984	4376	62063927	577966	540487	30491458
SV	Branch-based	3	109967517	262374544	218846031	101005383	22766411	22689700	22815624	5134476	0	62063981	302	62063926	573922	540487	30491458
SV	Branch-based	4	110141768	262354549	218845232	100979564	22817016	22681842	22836881	5132871	0	62063984	36	62063927	573649	540487	30491458
SV	Branch-based	5	109998737	262263391	218845137	101030390	22806634	22678472	22828869	5133179	0	62063981	4	62063927	573775	540487	30491458
SV	Branch-based	6	110032227	262237873	218845133	100987339	22775701	22700978	22791223	5132126	0	62063984	3	62063926	573587	540487	30491458
SV	Branch-avoiding	0	114124111	272123284	221007086	96975120	26514614	19554283	26391268	5138152	1596	62063985	540491	31572470	603571	540487	30491458
SV	Branch-avoiding	1	114759093	272241069	221007085	96980599	26468039	19511404	26413394	5136078	1534	62063988	540491	31572469	603467	540487	30491458
SV	Branch-avoiding	2	114080961	272164846	221007086	96918246	26560396	19566496	26500228	5137075	1591	62063988	540491	31572470	603593	540487	30491458
SV	Branch-avoiding	3	114084511	272021253	221007085	96856546	26508425	19519590	26471421	5137806	1585	62063985	540491	31572469	603585	540487	30491458
SV	Branch-avoiding	4	114057821	272041705	221007086	96789890	26591662	19562167	26489189	5136618	1564	62063988	540491	31572470	603610	540487	30491458
SV	Branch-avoiding	5	114028680	272047409	221007085	96911316	26443071	19550723	26481994	5135212	1561	62063985	540491	31572469	603580	540487	30491458
SV	Branch-avoiding	6	114025891	272086761	221007086	96854683	26482889	19485063	26436649	5137552	1582	62063988	540491	31572470	603597	540487	30491458
