Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	1221694	2917820	2133772	170043	70282	68351	64367	95695	259	542454	47235	542453	58019	31164	240058
SV	Branch-based	1	1113943	2480409	2043884	214642	81134	79335	78565	99905	51	542454	17272	542453	47629	31164	240058
SV	Branch-based	2	913343	2190427	1996915	241677	82570	82856	81508	103476	0	542457	1616	542454	35449	31164	240058
SV	Branch-based	3	897723	2164695	1992409	243734	83951	83396	85737	103893	0	542454	114	542453	33765	31164	240058
SV	Branch-based	4	895933	2157137	1992082	241369	80701	81375	82098	103890	1	542454	5	542453	33638	31164	240058
SV	Branch-based	5	944134	2155449	1992077	241122	83398	82876	83017	103705	1	542454	3	542453	33620	31164	240058
SV	Branch-avoiding	0	971163	2323875	2116735	232824	107800	74780	107136	102857	19	542458	31168	302396	38991	31164	240058
SV	Branch-avoiding	1	966403	2330245	2116735	228957	106932	74114	104513	102784	20	542455	31168	302395	38994	31164	240058
SV	Branch-avoiding	2	1013674	2321206	2116736	228978	105500	74097	106864	102853	16	542455	31168	302395	38999	31164	240058
SV	Branch-avoiding	3	967123	2321160	2116735	229537	104467	73915	103809	102781	20	542455	31168	302395	38954	31164	240058
SV	Branch-avoiding	4	967023	2320847	2116735	230797	104451	75351	107978	102806	18	542458	31168	302396	38971	31164	240058
SV	Branch-avoiding	5	965423	2320927	2116735	229002	108767	74345	105447	102748	17	542455	31168	302395	38956	31164	240058
