Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	129360932	296610773	333079441	52943838	25990926	25944778	25978524	4047403	1760	93045055	1521815	93044992	1821550	952204	45570272
SV	Branch-based	1	125387938	292738641	331315380	53481446	26267421	26231344	26237374	3984152	391	93045052	933795	93044993	1864620	952204	45570272
SV	Branch-based	2	124186435	290379629	330927365	53881527	26437774	26374656	26454338	4014538	298	93045055	804456	93044991	1782907	952204	45570272
SV	Branch-based	3	123540742	289081855	330781069	54104063	26503098	26464384	26496161	4029803	284	93045052	755691	93044992	1732277	952204	45570272
SV	Branch-based	4	122798550	287880015	330597177	54277535	26633901	26528297	26600836	4046531	257	93045052	694394	93044991	1679389	952204	45570272
SV	Branch-based	5	122033617	286605439	330457020	54442136	26637856	26609328	26683990	4063086	249	93045055	647675	93044991	1622081	952204	45570272
SV	Branch-based	6	121321075	285295540	330288363	54634890	26805700	26729946	26783574	4081421	233	93045052	591456	93044991	1560063	952204	45570272
SV	Branch-based	7	120764523	284032546	330118296	54922914	26868573	26813880	26861004	4100288	214	93045055	534767	93044992	1501122	952204	45570272
SV	Branch-based	8	120397882	282549299	329918894	55197721	26960340	26871618	27026171	4119830	185	93045049	468300	93044991	1436563	952204	45570272
SV	Branch-based	9	119118598	281381142	329773416	55402065	27087068	26967663	27081274	4135525	162	93045052	419807	93044991	1385214	952204	45570272
SV	Branch-based	10	118594216	280387741	329638070	55484862	27084954	27092640	27130633	4149190	143	93045049	374692	93044990	1334135	952204	45570272
SV	Branch-based	11	117992904	279200274	329487297	55604842	27179653	27112672	27206857	4165194	126	93045049	324434	93044991	1282551	952204	45570272
SV	Branch-based	12	117351371	278132768	329338173	55884780	27237304	27143694	27243752	4179936	92	93045049	274726	93044990	1234351	952204	45570272
SV	Branch-based	13	116749490	276909765	329204483	55994128	27290590	27256755	27337409	4194527	69	93045055	230163	93044990	1182575	952204	45570272
SV	Branch-based	14	116135838	275905836	329052855	56223734	27395765	27279905	27412736	4210300	55	93045049	179620	93044990	1134902	952204	45570272
SV	Branch-based	15	115680336	274903839	328924819	56387403	27468274	27371648	27511771	4224713	37	93045046	136942	93044990	1090603	952204	45570272
SV	Branch-based	16	115207304	274100796	328811496	56571306	27518847	27448131	27522672	4237213	35	93045049	99167	93044991	1052388	952204	45570272
SV	Branch-based	17	114798113	273351749	328716473	56599697	27540554	27442428	27552899	4246803	17	93045049	67493	93044989	1023406	952204	45570272
SV	Branch-based	18	114314732	272808653	328641937	56731639	27551875	27466088	27603067	4255252	9	93045046	42648	93044990	997068	952204	45570272
SV	Branch-based	19	114250041	272560247	328601804	56774396	27644893	27497627	27630517	4260352	8	93045052	29270	93044989	984500	952204	45570272
SV	Branch-based	20	114161041	272404795	328574198	56808883	27632738	27586458	27666800	4263274	3	93045049	20068	93044990	974905	952204	45570272
SV	Branch-based	21	114071001	272234012	328556941	56822218	27595371	27510089	27633907	4265258	3	93045046	14316	93044990	970404	952204	45570272
SV	Branch-based	22	114075811	272145240	328557053	56850868	27639488	27564604	27601427	4265273	2	93045049	14353	93044989	970198	952204	45570272
SV	Branch-based	23	114066351	272212296	328553398	56790244	27596964	27537280	27634823	4265548	1	93045046	13135	93044990	968424	952204	45570272
