Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	33750	75436	58041	157	254	230	240	323	0	14158	1244	14157	1930	1590	5484
SV	Branch-based	1	26660	61316	54999	249	274	245	230	352	0	14158	230	14157	1641	1590	5484
SV	Branch-based	2	24260	57943	54576	238	265	293	326	342	0	14158	89	14157	1476	1590	5484
SV	Branch-based	3	23530	56721	54390	227	318	300	288	345	0	14158	27	14157	1422	1590	5484
SV	Branch-based	4	23361	56398	54324	270	325	276	303	352	0	14158	5	14157	1404	1590	5484
SV	Branch-based	5	23340	56367	54318	232	309	277	291	351	0	14158	3	14157	1402	1590	5484
SV	Branch-avoiding	0	26460	58419	60681	370	416	312	414	330	0	14159	1594	8673	1401	1590	5484
SV	Branch-avoiding	1	24390	58457	60681	383	425	310	439	348	1	14159	1594	8673	1397	1590	5484
SV	Branch-avoiding	2	24150	58342	60681	386	431	317	461	348	2	14159	1594	8673	1397	1590	5484
SV	Branch-avoiding	3	24141	58381	60681	394	426	321	458	350	2	14159	1594	8673	1398	1590	5484
SV	Branch-avoiding	4	24140	58394	60681	392	428	324	457	350	1	14159	1594	8673	1397	1590	5484
SV	Branch-avoiding	5	24140	58381	60681	390	427	319	457	347	2	14159	1594	8673	1397	1590	5484
