Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	0	101260	236216	154913	189	164	141	163	953	0	36270	4385	36269	7445	4942	13188
SV	Branch-based	1	106401	251669	154150	195	177	168	184	905	0	36270	4131	36269	8871	4942	13188
SV	Branch-based	2	102400	245478	153385	217	215	198	217	921	0	36270	3876	36269	8579	4942	13188
SV	Branch-based	3	101150	242909	153352	207	221	209	224	915	0	36270	3865	36269	8345	4942	13188
SV	Branch-based	4	98851	237418	152161	201	227	179	204	905	0	36270	3468	36269	8123	4942	13188
SV	Branch-based	5	89860	215890	148798	255	225	199	217	952	0	36273	2347	36269	7289	4942	13188
SV	Branch-based	6	82140	196676	146224	355	237	219	245	980	0	36270	1489	36269	6436	4942	13188
SV	Branch-based	7	75721	181759	144241	364	223	193	230	1000	0	36270	828	36269	5787	4942	13188
SV	Branch-based	8	71110	170721	142915	395	225	223	244	1008	0	36270	386	36269	5187	4942	13188
SV	Branch-based	9	69680	167410	142381	384	221	194	214	1021	0	36270	208	36269	5024	4942	13188
SV	Branch-based	10	68630	164786	142054	409	229	229	246	1033	0	36270	99	36269	4909	4942	13188
SV	Branch-based	11	68000	164253	141889	415	234	218	238	1033	0	36270	44	36269	4826	4942	13188
SV	Branch-based	12	67861	163463	141817	394	224	210	226	1035	0	36270	20	36269	4802	4942	13188
SV	Branch-based	13	67710	162666	141787	403	235	219	264	1037	0	36270	10	36269	4785	4942	13188
SV	Branch-based	14	67670	162509	141772	397	234	218	261	1037	0	36270	5	36269	4783	4942	13188
SV	Branch-based	15	67680	162557	141766	396	232	231	234	1040	0	36270	3	36269	4782	4942	13188
SV	Branch-avoiding	0	73570	174586	161537	787	436	195	508	994	1	36271	4946	23081	5281	4942	13188
SV	Branch-avoiding	1	72571	174451	161537	763	405	156	469	1020	1	36271	4946	23081	5278	4942	13188
SV	Branch-avoiding	2	72540	174352	161538	765	400	156	471	1017	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	3	72530	174354	161538	764	405	203	465	1019	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	4	72540	174342	161537	749	400	155	462	1017	1	36271	4946	23081	5278	4942	13188
SV	Branch-avoiding	5	72531	174405	161537	763	404	156	464	1019	0	36271	4946	23083	5277	4942	13188
SV	Branch-avoiding	6	72540	174410	161537	763	408	156	468	1016	0	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	7	72530	174408	161537	763	408	156	464	1017	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	8	72530	174408	161537	746	404	156	464	1018	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	9	72541	174464	161537	756	406	156	484	1016	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	10	72530	174407	161537	754	404	156	481	1019	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	11	72540	174405	161537	746	404	156	484	1018	1	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	12	72530	174436	161537	754	404	156	484	1017	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	13	72530	174407	161537	756	404	156	481	1018	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	14	72541	174401	161537	764	404	156	481	1016	2	36271	4946	23081	5277	4942	13188
SV	Branch-avoiding	15	72530	174408	161537	761	404	156	479	1019	2	36271	4946	23081	5277	4942	13188
